Sort,Code,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
1,AL,Alabama,5660,543.6,21,9,7196,148.4,19,9,280,5.8,24,1
2,AK,Alaska,26359,768.3,39,1,1113,151.1,40,8,8,1.1,49,2
3,AZ,Arizona,32387,481.1,12,18,8245,122.5,14,20,589,8.7,10,3
4,AR,Arkansas,16166,545,30,8,4780,161.1,25,6,134,4.5,30,4
5,CA,California,189170,487.5,1,17,54135,139.5,1,14,4908,12.6,1,5
6,CO,Colorado,23857,445.4,24,26,4387,81.9,27,36,245,4.6,26,6
7,CT,Connecticut,13126,364.9,31,41,2088,58.1,35,41,92,2.6,32,7
8,DE,Delaware,4605,492.2,42,15,1310,140,38,13,41,4.4,42,8
9,FL,Florida,90468,454.8,4,25,24125,121.3,4,21,2083,10.5,2,8
10,GA,Georgia,57639,570.8,7,6,15982,158.3,8,7,1413,14,5,9
11,HI,Hawaii,7074,498.3,38,14,1239,87.3,39,34,91,6.4,33,10
12,ID,Idaho,5631,344.5,40,45,472,28.9,46,48,57,3.5,39,11
13,IL,Illinois,69610,540.4,5,11,17130,133,6,15,1085,8.4,7,11
14,IN,Indiana,28886,437.9,17,27,7843,118.9,17,23,285,4.3,23,12
15,IA,Iowa,12085,388.9,34,40,2247,72.3,34,40,75,2.4,37,13
16,KS,Kansas,11464,394.8,35,38,2536,87.3,32,33,87,3,34,14
17,KY,Kentucky,17444,395.2,27,37,4678,106,26,25,145,3.3,29,14
18,LA,Louisiana,32325,695.2,13,2,10282,221.1,11,1,696,15,8,15
19,ME,Maine,3965,298.1,45,47,417,31.4,47,46,28,2.1,45,16
20,MD,Maryland,27450,459.3,20,23,6858,114.8,21,24,509,8.5,12,17
21,MA,Massachusetts,24100,357.3,23,42,3817,56.6,29,42,418,6.2,14,18
22,MI,Michigan,46486,469.1,10,21,10330,104.2,10,26,403,4.1,15,19
23,MN,Minnesota,21243,389.3,25,39,4097,75.1,28,39,246,4.5,25,20
24,MS,Mississippi,17371,580.2,28,5,5775,192.9,23,3,219,7.3,27,20
25,MO,Missouri,28948,477.4,16,20,8942,147.5,12,10,307,5.1,21,21
26,MT,Montana,4184,408.8,44,35,844,82.5,42,35,13,1.3,46,22
27,NE,Nebraska,7956,422.9,37,32,1703,90.5,36,32,45,2.4,41,22
28,NV,Nevada,12925,455.3,32,24,3630,127.9,30,18,335,11.8,19,23
29,NH,New Hampshire,3095,233.3,48,50,245,18.5,48,50,40,3,43,23
30,NJ,New Jersey,31337,350.6,14,43,7228,80.9,18,38,372,4.2,16,24
31,NM,New Mexico,12632,605.7,33,4,2489,119.3,33,22,118,5.7,31,25
32,NY,New York,103615,524.7,3,12,25561,129.4,3,16,2006,10.2,3,26
33,NC,North Carolina,64376,647.4,6,3,19809,199.2,5,2,1196,12,6,27
34,ND,North Dakota,3159,427.2,47,29,684,92.5,44,30,11,1.5,47,28
35,OH,Ohio,56726,489.3,8,16,16564,142.9,7,12,560,4.8,11,29
36,OK,Oklahoma,21025,542.2,26,10,6542,168.7,22,5,209,5.4,28,30
37,OR,Oregon,16305,410.7,29,34,3232,81.4,31,37,345,8.7,18,31
38,PA,Pennsylvania,53460,418.1,9,33,12791,100,9,28,655,5.1,9,32
39,RI,Rhode Island,4575,433.6,43,28,580,55,45,43,77,7.3,36,33
40,SC,South Carolina,27538,569.9,19,7,8206,169.8,15,4,294,6.1,22,34
41,SD,South Dakota,3949,462.9,46,22,1048,122.8,41,19,39,4.6,44,35
42,TN,Tennessee,31272,477.5,15,19,8386,128,13,17,349,5.3,17,35
43,TX,Texas,141158,523.6,2,13,39717,147.3,2,11,1680,6.2,4,36
44,UT,Utah,8633,293.3,36,48,1562,53.1,37,44,65,2.2,38,37
45,VT,Vermont,1901,303.4,50,46,155,24.7,50,49,9,1.4,48,38
46,VA,Virginia,35349,424.5,11,30,8099,97.3,16,29,334,4,20,39
47,WA,Washington,28699,406.4,18,36,7171,101.6,20,27,445,6.3,13,39
48,WV,West Virginia,4958,268,41,49,769,41.6,43,45,52,2.8,40,40
49,WI,Wisconsin,24381,423.5,22,31,5260,91.4,24,31,79,1.4,35,41
50,WY,Wyoming,2037,348.7,49,44,175,30,49,47,5,0.9,50,42
